customer_id,transaction_time,amount,days_since_last_payment,previous_declines_24h,merchant_category,is_international
CUST10000,2025-03-17 15:15:56,50.0,188.4,0,atm_withdrawal,0
CUST10000,2024-12-01 13:12:57,707.96,0.0,0,groceries,0
CUST10000,2024-10-05 17:39:17,166.44,0.0,0,travel,0
CUST10000,2025-03-19 21:30:43,50.0,167.6,0,retail,0
CUST10000,2025-01-30 22:23:41,278.11,0.0,0,groceries,1
CUST10000,2025-03-27 13:08:51,50.0,52.4,0,education,1
CUST10000,2024-11-04 01:18:44,242.78,0.0,0,utilities,0
CUST10000,2024-11-06 00:26:32,341.17,0.0,0,fuel,0
CUST10000,2024-12-20 03:15:38,763.88,41.1,0,education,1
CUST10000,2024-12-08 11:44:24,529.52,0.0,0,gambling,0
CUST10000,2025-03-17 00:06:23,119.74,95.0,0,gambling,0
CUST10000,2025-03-01 19:34:43,175.14,0.0,0,entertainment,0
CUST10000,2024-11-20 22:47:50,851.75,0.0,0,dining,1
CUST10000,2024-10-18 14:34:10,189.03,0.0,0,retail,0
CUST10000,2024-11-25 20:19:36,1016.78,39.1,0,atm_withdrawal,0
CUST10000,2025-02-09 23:13:28,50.0,74.7,0,retail,0
CUST10000,2024-12-05 16:39:17,838.08,0.0,0,groceries,0
CUST10000,2025-01-07 06:47:50,71.53,30.8,0,dining,0
CUST10000,2025-03-28 05:57:29,740.83,80.3,0,dining,0
CUST10000,2024-11-06 14:22:50,102.24,0.0,0,education,1
CUST10000,2025-03-19 20:33:37,119.88,137.8,0,electronics,0
CUST10000,2024-11-09 01:31:47,194.87,0.0,0,education,1
CUST10000,2024-10-24 22:08:00,146.83,0.0,0,utilities,0
CUST10000,2025-03-30 09:13:44,358.28,154.7,0,fuel,0
CUST10000,2024-12-29 16:47:27,153.0,0.0,0,retail,0
CUST10000,2025-03-12 10:23:57,112.41,75.7,0,electronics,0
CUST10000,2025-03-22 20:57:02,330.01,10.8,0,entertainment,0
CUST10000,2025-03-13 20:40:17,76.01,0.0,0,education,1
CUST10000,2025-03-10 09:49:59,491.11,0.0,0,atm_withdrawal,1
CUST10000,2024-12-26 02:00:50,604.3,0.0,0,groceries,0
CUST10000,2024-11-06 10:47:03,638.19,0.0,0,entertainment,1
CUST10000,2024-11-07 06:13:39,236.74,0.0,0,fuel,0
CUST10000,2024-12-11 03:09:08,342.42,35.3,0,travel,0
CUST10000,2024-12-26 21:51:18,1611.75,12.0,0,groceries,0
CUST10000,2024-11-26 11:37:00,50.0,0.0,0,electronics,0
CUST10000,2024-10-02 10:30:43,335.35,0.0,0,gambling,0
CUST10000,2025-01-12 00:01:51,118.11,102.3,0,utilities,0
CUST10000,2025-01-06 15:23:52,50.0,0.0,0,education,0
